872,3
65.8473,24.1737,1018.1
66.0,8.1,1006.8
40.5461,34.9361,1003.7
65.7028,-14.8211,1010.4
67.1281,39.6664,1021.1
51.47,-9.42,1005.4
58.3939,19.194,1017.0
59.3653,17.8978,1015.6
46.5167,41.35,1011.7
36.822,7.809,1014.2
36.3025,30.1458,1004.5
48.6667,21.2167,1016.5
59.1,-11.8,1003.2
52.7,-8.92,1004.0
51.7233,19.3994,1016.9
47.0425,37.4843,1010.9
49.5062,8.5585,1014.0
49.646,31.0829,1013.6
47.6244,17.8119,1017.3
56.6373,47.7742,1019.4
50.9003,15.7889,1016.9
39.8114,18.3422,1013.8
64.15,-21.85,1011.7
41.4492,31.7781,1012.5
50.2806,28.6591,1013.6
48.36,35.0851,1013.2
55.8333,37.6167,1019.7
41.4064,41.4331,1011.7
55.5333,45.5,1019.6
43.8333,46.7167,1011.4
43.25,45.7167,1009.9
58.7429,17.8684,1016.6
61.08,2.51,1004.8
66.737,47.7185,1018.6
68.0023,35.0252,1019.2
36.711,5.069,1013.8
40.4489,21.2736,1012.4
58.3844,24.4853,1016.8
50.2806,28.6592,1013.6
69.935,31.9738,1019.1
37.0,35.4167,1004.1
56.35,36.75,1018.8
50.1747,7.0594,1012.3
53.66,9.51,1014.7
67.1235,39.6598,1021.1
62.0231,-6.7647,1001.2
59.7,1.6,1004.3
46.0469,-1.4117,1015.6
45.591,17.21,1017.8
53.7833,21.5833,1017.6
65.0742,-22.7339,1014.3
38.6,-17.5,1023.0
42.888,-8.4105,1016.0
64.1333,-21.9,1012.1
60.3754,26.9589,1019.5
51.346,1.3372,1007.3
68.6553,43.2875,1020.2
59.3445,5.2115,1007.2
42.4523,-2.331,1013.0
54.3776,10.1424,1014.0
42.9183,3.0617,1016.0
52.0786,23.6219,1016.3
54.9422,48.788,1018.7
43.5565,6.9505,1018.1
42.0042,14.9964,1017.1
35.3353,25.1819,1011.3
56.7169,11.5098,1015.3
54.8539,4.6961,1008.2
44.745,1.3967,1012.9
50.4544,4.4421,1010.5
56.9211,18.1506,1017.7
48.7669,30.2328,1013.2
64.835,11.1408,1009.7
53.53,-7.37,1000.0
59.85,48.2833,1019.2
40.1514,44.4039,1000.5
57.1333,45.1667,1019.9
53.9022,25.3233,1014.6
42.5639,-6.6,1012.7
62.6043,9.6667,1008.2
52.8,41.3333,1019.5
47.7215,22.8872,1016.9
48.7111,11.5361,1015.7
70.75,-22.65,1013.0
57.7115,-3.3219,998.0
56.95,40.9667,1020.8
36.9731,-25.1728,1023.2
55.609,22.239,1017.3
55.395,23.133,1016.3
52.0333,48.8333,1017.6
37.1897,-3.7894,1009.8
39.6461,22.4602,1012.0
67.1692,32.3542,1020.0
62.8283,42.7919,1020.5
37.6908,26.9161,1007.6
46.2187,7.3302,1012.7
51.0,39.5,1017.0
54.2371,-6.5026,996.8
60.1116,21.6983,1016.1
52.2003,18.6614,1016.7
52.8,41.3333,1019.5
59.3183,39.9256,1020.8
70.4844,-21.9511,1013.1
35.1833,-3.85,1015.4
46.9983,3.1127,1012.5
56.7169,11.5097,1015.3
58.9209,22.0663,1016.7
42.2536,42.6283,1009.3
63.7266,23.1436,1016.7
53.02,-8.0,1002.1
54.6333,43.2333,1020.6
59.497,8.1992,1011.4
42.5233,41.8783,1014.7
66.544,-18.017,1012.9
60.9853,40.2575,1020.6
60.7489,-0.8536,1001.7
52.7156,7.3175,1013.4
42.7372,2.8728,1015.8
64.5553,39.7656,1021.7
54.0666,21.3666,1017.6
63.7667,34.2833,1021.4
40.5461,34.9361,1003.7
38.8025,15.2342,1017.2
42.7481,11.0589,1017.4
52.3486,14.5939,1017.1
69.3073,16.1312,1009.8
61.6304,21.3762,1015.8
51.0873,11.9292,1015.1
65.9933,29.2272,1019.4
43.1114,-7.4572,1014.8
